JSON_PATH,JSON_PATH_TO_EXPLODE,JSON_PATH_EXPLODED
order.lineItems,order.lineitems,order_lineItems
order.addresses,order.addresses,order_addresses
order.relatedOrders,order.relatedOrders,order_relatedOrders
order.relatedOrders.relatedLines,order_relatedOrders.relatedLines,order_relatedOrders_relatedLines
order.lineItemRelationships,order.lineItemRelationships,order_lineItemRelationships
order.paymentMethods,order.paymentMethods,order_paymentMethods
order.lineItems.charges,order_lineItems.charges,order_lineItems_charges
order.lineItems.sublineItems,order_lineItems.sublineItems,order_lineItems_sublineItems
order.lineItems.charges.taxes,order_lineItems_charges.taxes,order_lineItems_charges_taxes
order.lineItems.charges.discounts,order_lineItems_charges.discounts,order_lineItems_charges_discounts
order.lineItems.charges.discounts.customAttributes,order_lineItems_charges_discounts.customAttributes,order_lineItems_charges_discounts_customAttributes
